,,Temp,Hi,Low,Out,Dew,Wind,Wind,Wind,Hi,Hi,Wind,Heat,THW,THSW,,,Rain,Solar,Solar,Hi Solar,UV ,UV ,Hi ,Heat,Cool,In ,In,In ,In ,,Wind,Wind,ISS ,Arc.
Date,Time,Out,Temp,Temp,Hum,Pt.,Speed,Dir,Run,Speed,Dir,Chill,Index,Index,Index,Bar  ,Rain,Rate,Rad.,Energy,Rad. ,Index,Dose,UV ,D-D ,D-D ,Temp,Hum,Dew,Heat,ET ,Samp,Tx ,Recept,Int.
1/1/2022,12:10 AM,21.9,22,21.9,80,18.3,0.4,NNE,0.27,1.8,NNE,21.9,22.7,22.7,21.4,1008.7,0,0,0,0,0,0,0,0,0,0.025,23.9,63,16.5,24.6,0.03,233,1,100,10
1/1/2022,12:20 AM,21.9,22,21.9,80,18.3,0,NNE,0,1.3,NNE,21.9,22.7,22.7,21.4,1008.6,0,0,0,0,0,0,0,0,0,0.025,23.8,65,16.8,24.5,0,234,1,100,10
1/1/2022,12:30 AM,21.9,21.9,21.9,80,18.3,0.4,NNE,0.27,1.8,NNE,21.9,22.7,22.7,21.4,1008.4,0,0,0,0,0,0,0,0,0,0.025,23.9,64,16.7,24.6,0,234,1,100,10
1/1/2022,12:40 AM,21.9,21.9,21.9,80,18.3,0.4,WSW,0.27,1.8,WSW,21.9,22.6,22.6,21.3,1008.3,0,0,0,0,0,0,0,0,0,0.025,24.1,64,16.8,24.7,0,234,1,100,10
1/1/2022,12:50 AM,21.8,21.9,21.8,80,18.2,0.4,WSW,0.27,1.8,WSW,21.8,22.6,22.6,21.3,1008.2,0,0,0,0,0,0,0,0,0,0.024,24.2,64,16.9,24.8,0,234,1,100,10
1/1/2022,1:00 AM,21.8,21.8,21.8,80,18.2,0,WSW,0,1.3,WSW,21.8,22.6,22.6,21.3,1008,0,0,0,0,0,0,0,0,0,0.024,24.2,61,16.2,24.7,0.03,234,1,100,10
1/1/2022,1:10 AM,21.8,21.8,21.8,80,18.2,0.4,WSW,0.27,1.8,WSW,21.8,22.6,22.6,21.3,1007.8,0,0,0,0,0,0,0,0,0,0.024,23.8,64,16.6,24.4,0,234,1,100,10
1/1/2022,1:20 AM,21.8,21.8,21.8,80,18.2,0.4,WSW,0.27,1.8,WSW,21.8,22.6,22.6,21.3,1007.8,0,0,0,0,0,0,0,0,0,0.024,23.9,64,16.7,24.6,0,235,1,100,10
1/1/2022,1:30 AM,21.8,21.8,21.8,80,18.2,0.4,WSW,0.27,1.3,WSW,21.8,22.5,22.5,21.2,1007.6,0,0,0,0,0,0,0,0,0,0.024,23.9,64,16.7,24.6,0,234,1,100,10
